Wall time,Step,Value
1730932453.4673321,31,133.17965698242188
1730932455.5576208,41,129.53831481933594
1730932464.7566924,101,137.6282501220703
1730932471.053062,141,134.68875122070312
1730932472.8669453,151,137.63145446777344
1730932477.5919526,181,133.4180908203125
1730932479.202062,191,132.6630859375
1730932480.660516,201,125.71631622314453
1730932484.166176,221,131.612548828125
1730932485.400456,231,119.48417663574219
1730932490.411503,261,111.21963500976562
1730932491.6827028,271,113.13702392578125
1730932501.6558182,331,97.6502685546875
1730932505.4642868,361,94.81238555908203
1730932507.864104,371,88.2881851196289
1730932509.066326,381,92.03501892089844
1730932511.7646308,401,89.23005676269531
1730932522.8659565,471,83.79662322998047
1730932524.6161106,481,83.11997985839844
1730932526.508357,491,78.77058410644531
1730932529.152082,511,76.7881088256836
1730932534.3031535,541,82.12602996826172
1730932539.3422043,571,77.18663024902344
1730932543.5823784,601,74.98088073730469
1730932545.7789865,611,77.25077056884766
1730932547.007614,621,73.37479400634766
1730932548.334767,631,74.97620391845703
1730932552.0673044,651,74.8702392578125
1730932553.3444088,661,71.70396423339844
1730932554.7234192,671,71.27092742919922
1730932556.456735,681,69.18321990966797
1730932559.9890754,701,71.11556243896484
1730932561.3226442,711,70.54739379882812
1730932571.2107208,771,68.11774444580078
1730932573.671184,791,63.87726974487305
1730932574.9452577,801,61.323951721191406
1730932578.4564915,821,64.61705017089844
1730932583.4188297,851,62.430030822753906
1730932589.5361295,891,54.41281509399414
1730932591.2081685,901,54.145423889160156
1730932605.120603,991,41.12484359741211
1730932606.4478087,1001,38.87206268310547
1730932611.4038956,1031,37.02779769897461
1730932616.3976889,1061,34.54893493652344
1730932617.658736,1071,36.658409118652344
1730932621.2064471,1091,35.42441940307617
1730932632.3890584,1161,29.6064395904541
1730932640.2351196,1211,26.378246307373047
1730932646.466341,1251,25.62156867980957
1730932648.1985297,1261,26.385061264038086
1730932651.451534,1281,25.94194793701172
1730932654.3616314,1301,23.670894622802734
1730932655.6597054,1311,22.675260543823242
1730932664.2731683,1361,21.957656860351562
1730932665.527356,1371,23.096195220947266
1730932677.1974788,1441,21.87051773071289
1730932679.8114598,1461,19.083633422851562
1730932681.5830605,1471,18.010404586791992
1730932686.3415046,1501,18.66383171081543
1730932697.60178,1571,16.779346466064453
1730932700.4901907,1591,15.866325378417969
1730932702.5390944,1601,16.803512573242188
1730932705.3847208,1621,15.169611930847168
1730932708.704321,1641,14.521980285644531
1730932718.0100613,1701,14.328516006469727
1730932719.9539044,1711,13.595067024230957
1730932722.255327,1721,13.53061294555664
1730932726.3590655,1751,11.778999328613281
1730932728.4489322,1761,12.332329750061035
1730932730.0763228,1771,12.934889793395996
1730932731.3753428,1781,11.526365280151367
1730932734.9277854,1801,12.041914939880371
1730932736.3882477,1811,11.82335090637207
1730932741.3813658,1841,11.131852149963379
1730932742.642567,1851,11.4466552734375
1730932744.0003884,1861,10.797004699707031
1730932750.3369205,1901,12.703099250793457
1730932751.63725,1911,10.479084014892578
1730932753.7408755,1921,10.3532133102417
1730932757.948194,1951,9.208032608032227
1730932764.4976628,1991,9.772050857543945
1730932766.3910804,2001,9.034309387207031
1730932770.3596425,2021,9.579248428344727
1730932771.7023783,2031,8.516509056091309
1730932774.1149297,2041,9.071321487426758
1730932775.401276,2051,9.456096649169922
1730932777.946432,2071,8.001402854919434
1730932781.7080712,2091,7.93315315246582
1730932784.1504993,2111,8.665945053100586
1730932787.780718,2131,9.052407264709473
1730932790.4257505,2151,7.762322425842285
1730932792.5397673,2161,7.868278980255127
1730932796.7663794,2191,8.484776496887207
